17,50,78,73,5,7
20,50,59,23,4,4
34,67,63,87,4,12
32,59,49,3,6,0
40,86,88,99,13,0
18,80,57,12,5,17
17,57,41,79,4,19
16,48,35,85,4,13
19,58,63,1,4,14
28,50,86,24,4,8
28,31,54,49,9,2
16,58,33,28,3,17
21,93,94,65,8,15
16,79,54,15,9,5
33,61,54,5,2,17
41,42,32,5,12,8
42,91,54,38,13,16
42,97,58,37,9,11
30,75,81,9,3,14
17,88,89,42,8,15
33,95,78,94,6,0
40,42,42,6,10,13
37,45,91,67,5,2
42,38,81,90,12,11
31,35,69,40,4,16
38,54,89,95,4,12
41,43,76,5,4,9
29,80,44,38,3,13
33,83,94,26,2,6
42,63,89,50,10,4
30,87,99,72,11,5
23,94,90,23,6,16
26,32,74,25,9,15
41,38,85,44,2,19
22,99,63,91,5,12
36,72,90,25,5,13
23,95,45,61,10,8
36,94,59,67,5,15
19,94,80,72,7,16
44,73,55,7,13,15
37,53,76,55,5,0
23,94,81,49,4,16
26,73,49,51,8,8
15,39,65,19,1,11
30,67,90,54,8,9
42,84,86,0,7,17
17,76,70,50,10,8
30,78,31,4,9,14
28,33,59,9,11,18
21,45,32,73,3,7
39,80,76,30,4,13
18,45,98,16,10,10
16,87,76,78,12,17
26,73,47,19,10,18
23,51,37,33,4,0
15,38,54,77,3,9
25,40,67,15,8,14
31,70,48,7,7,15
35,73,54,13,6,15
40,69,45,57,7,14
42,39,63,17,3,3
18,63,63,95,2,7
35,56,59,58,9,8
25,77,33,73,6,4
25,80,43,80,2,10
19,50,66,3,3,13
37,99,74,32,1,0
25,73,49,10,2,9
23,99,41,50,8,0
39,46,61,30,7,6
35,34,61,96,11,4
36,71,43,40,1,18
18,59,84,18,13,5
32,78,63,12,12,0
16,37,65,24,5,8
20,33,63,10,5,10
36,67,52,3,5,0
42,31,77,99,4,10
17,98,87,41,5,14
16,90,93,45,9,15
44,73,99,5,2,19
37,68,90,4,1,6
34,42,37,80,12,0
16,31,76,11,2,18
25,40,75,61,13,8
38,51,90,27,9,18
26,45,77,27,5,14
26,64,65,6,7,2
31,48,44,3,10,17
18,35,66,10,7,1
42,45,89,91,12,1
24,97,84,25,12,16
35,77,86,76,1,16
29,71,48,10,10,4
24,77,75,34,4,18
44,78,58,25,1,18
41,60,74,40,12,14
27,81,35,48,9,15
15,35,85,37,7,4
34,87,57,10,8,15
19,39,79,93,11,7
38,68,99,25,6,19
23,76,97,70,6,0
31,49,61,36,2,3
30,35,77,59,4,7
42,94,94,89,1,12
40,71,36,45,11,19
44,88,48,3,9,19
32,71,65,79,12,4
35,46,54,21,12,4
32,44,31,32,9,3
27,67,85,89,6,17
44,92,88,16,12,19
17,51,37,3,4,19
25,55,86,57,11,6
32,93,82,21,10,14
31,62,38,91,9,12
31,89,94,39,1,10
24,76,52,43,8,15
18,45,69,23,5,10
16,69,86,92,10,11
18,67,31,36,5,19
44,96,53,10,1,8
16,76,94,11,10,11
18,74,80,64,10,10
25,87,44,79,8,1
27,82,52,65,8,1
35,42,97,47,8,14
15,36,41,77,4,19
37,80,66,59,2,19
26,70,68,44,13,8
26,95,81,31,3,15
22,53,75,28,6,17
23,95,61,3,11,9
28,63,84,62,5,0
29,74,75,35,3,9
19,66,52,52,5,3
42,81,68,50,10,0
36,78,34,1,8,16
18,49,41,53,11,8
35,39,44,20,1,19
37,48,82,13,6,10
35,90,95,93,3,4
18,53,97,70,1,16
33,30,80,24,9,12
17,35,94,98,8,17
30,30,98,49,11,9
16,45,44,85,6,3
29,33,59,51,12,11
40,97,70,98,7,17
32,80,35,42,6,18
28,72,58,66,1,0
36,43,58,23,3,9
42,74,80,78,4,10
24,34,61,86,9,16
19,54,48,52,12,16
32,63,50,71,8,19
17,61,88,54,13,4
41,39,79,59,11,8
19,88,79,53,6,1
34,66,84,83,5,0
44,91,34,39,7,7
28,67,89,10,5,6
16,85,64,36,7,1
42,57,30,98,8,12
38,42,51,90,1,9
18,31,40,51,9,12
37,44,79,0,5,8
44,47,89,32,5,14
17,43,51,83,11,12
21,30,61,18,1,1
20,44,69,99,6,0
33,68,60,99,4,10
24,50,82,0,1,12
44,48,79,15,11,5
36,30,44,48,11,1
20,39,94,51,10,10
24,75,53,72,13,9
25,69,76,43,3,10
36,44,54,92,2,14
39,75,91,62,11,19
43,63,50,22,1,9
17,83,88,66,2,2
21,48,44,93,10,19
23,89,86,55,4,11
21,97,96,12,2,0
20,56,33,11,3,11
30,52,43,66,11,7
24,55,33,57,2,0
44,88,70,94,8,11
41,92,83,92,4,15
37,54,94,73,5,16
30,52,69,28,8,19
25,80,58,72,7,16
28,70,38,45,6,18
24,71,92,83,6,12
42,91,59,13,2,1
19,44,66,56,4,19
22,57,36,37,1,14
38,44,61,91,9,0
22,50,33,84,6,17
36,84,64,9,12,19
25,43,87,34,3,12
20,31,91,53,6,19
43,31,73,96,6,13
31,57,68,20,7,11
17,81,94,41,12,12
42,96,42,74,7,5
40,89,31,44,7,6
18,47,88,48,6,9
41,58,96,29,8,18
41,88,76,29,6,19
36,38,86,37,9,19
26,51,68,20,8,3
43,58,91,46,6,18
34,68,48,6,5,3
43,53,82,77,9,19
37,74,35,71,3,13
33,88,45,31,6,12
30,35,98,70,13,10
22,53,57,27,6,19
40,54,45,83,5,6
38,66,83,64,1,16
30,37,50,94,3,4
16,72,34,5,6,10
27,90,30,6,3,5
22,45,80,85,2,3
30,80,86,0,12,4
21,47,73,28,5,19
17,69,75,78,10,2
29,71,71,19,1,15
34,86,53,6,1,14
17,78,85,44,11,1
22,34,98,20,7,11
31,94,40,97,5,8
29,39,62,33,4,19
38,92,30,36,10,1
26,48,91,88,2,13
28,32,87,60,10,11
16,96,45,13,11,15
28,78,64,32,12,7
38,37,47,54,6,19
34,46,49,34,7,1
